chr,start,end,gene
chr1,120539524,120539624,NOTCH2
chr1,120539624,120539772,NOTCH2
chr1,120539681,120539793,NOTCH2
chr1,120539799,120539944,NOTCH2
chr1,120539831,120539960,NOTCH2
chr1,120547975,120548124,NOTCH2
chr1,120548019,120548164,NOTCH2
chr1,120611942,120612056,NOTCH2
chr1,156785511,156785630,NTRK1
chr1,156834086,156834208,NTRK1
chr1,156834549,156834671,NTRK1
chr1,156838270,156838402,NTRK1
chr1,156843536,156843630,NTRK1
chr1,156843576,156843705,NTRK1
chr1,156843702,156843841,NTRK1
chr1,156844656,156844782,NTRK1
chr1,156846217,156846354,NTRK1
chr1,156849080,156849209,NTRK1
chr1,156851284,156851413,NTRK1
chr1,162724519,162724643,DDR2
chr1,162729596,162729706,DDR2
chr1,162729659,162729751,DDR2
chr1,162741929,162742047,DDR2
chr1,162743228,162743298,DDR2
chr1,162743271,162743386,DDR2
chr1,162745430,162745506,DDR2
chr1,162745484,162745555,DDR2
chr1,162745548,162745669,DDR2
chr1,162745924,162746004,DDR2
chr1,162746004,162746076,DDR2
chr1,162746050,162746160,DDR2
chr1,162748358,162748478,DDR2
chr1,162748448,162748524,DDR2
chr1,162749840,162749919,DDR2
chr1,162749908,162750018,DDR2
chr1,162749989,162750078,DDR2
chr1,204494575,204494697,MDM4
chr1,204495444,204495559,MDM4
chr1,204501277,204501401,MDM4
chr1,204506515,204506638,MDM4
chr1,204507397,204507520,MDM4
chr1,204512035,204512124,MDM4
chr1,204513676,204513796,MDM4
chr1,204518227,204518339,MDM4
chr1,204518380,204518495,MDM4
chr1,204518619,204518712,MDM4
chr1,226252021,226252158,H3F3A
chr1,243662991,243663088,AKT3
chr1,243708866,243708980,AKT3
chr1,243716094,243716215,AKT3
chr1,243716202,243716322,AKT3
chr1,243736247,243736359,AKT3
chr1,243778394,243778478,AKT3
chr1,243809138,243809257,AKT3
chr1,243828041,243828112,AKT3
chr1,243828084,243828160,AKT3
chr1,243858813,243858921,AKT3
chr1,243858983,243859103,AKT3
chr2,16082140,16082254,MYCN
chr2,16082250,16082336,MYCN
chr2,16082288,16082420,MYCN
chr2,16082420,16082561,MYCN
chr2,16082871,16082980,MYCN
chr2,16085594,16085703,MYCN
chr2,16085669,16085783,MYCN
chr2,16085739,16085870,MYCN
chr2,16085935,16086057,MYCN
chr2,16086044,16086172,MYCN
chr2,29419630,29419717,ALK
chr2,29419678,29419807,ALK
chr2,29420405,29420514,ALK
chr2,29420478,29420555,ALK
chr2,29430035,29430145,ALK
chr2,29432579,29432667,ALK
chr2,29432654,29432778,ALK
chr2,29436766,29436863,ALK
chr2,29436861,29436982,ALK
chr2,29443570,29443695,ALK
chr2,29443688,29443769,ALK
chr2,29445149,29445247,ALK
chr2,29445246,29445360,ALK
chr2,29445343,29445474,ALK
chr2,29446171,29446279,ALK
chr2,47630308,47630435,MSH2
chr2,47630400,47630515,MSH2
chr2,47630504,47630595,MSH2
chr2,47635516,47635601,MSH2
chr2,47635590,47635675,MSH2
chr2,47635665,47635783,MSH2
chr2,47637167,47637274,MSH2
chr2,47637245,47637348,MSH2
chr2,47637337,47637442,MSH2
chr2,47637431,47637536,MSH2
chr2,47639523,47639604,MSH2
chr2,47639590,47639684,MSH2
chr2,47639684,47639797,MSH2
chr2,47641372,47641451,MSH2
chr2,47641423,47641536,MSH2
chr2,47643378,47643473,MSH2
chr2,47643462,47643544,MSH2
chr2,47643533,47643605,MSH2
chr2,47656786,47656903,MSH2
chr2,47656901,47656969,MSH2
chr2,47656958,47657036,MSH2
chr2,47657025,47657133,MSH2
chr2,47672615,47672731,MSH2
chr2,47672718,47672822,MSH2
chr2,47690160,47690241,MSH2
chr2,47690230,47690337,MSH2
chr2,47693767,47693847,MSH2
chr2,47693846,47693967,MSH2
chr2,47698043,47698139,MSH2
chr2,47698128,47698215,MSH2
chr2,47702080,47702187,MSH2
chr2,47702176,47702277,MSH2
chr2,47702266,47702386,MSH2
chr2,47702380,47702493,MSH2
chr2,47703418,47703540,MSH2
chr2,47703529,47703648,MSH2
chr2,47703637,47703746,MSH2
chr2,47705405,47705475,MSH2
chr2,47705464,47705544,MSH2
chr2,47705530,47705623,MSH2
chr2,47705612,47705686,MSH2
chr2,47707806,47707931,MSH2
chr2,47707920,47708035,MSH2
chr2,47709859,47709930,MSH2
chr2,47709916,47710012,MSH2
chr2,47709992,47710103,MSH2
chr2,48010362,48010452,MSH6
chr2,48010440,48010577,MSH6
chr2,48010527,48010626,MSH6
chr2,48010608,48010699,MSH6
chr2,48018028,48018156,MSH6
chr2,48018077,48018203,MSH6
chr2,48018191,48018320,MSH6
chr2,48023025,48023146,MSH6
chr2,48023110,48023223,MSH6
chr2,48025671,48025790,MSH6
chr2,48025752,48025881,MSH6
chr2,48025839,48025915,MSH6
chr2,48025915,48026006,MSH6
chr2,48025968,48026041,MSH6
chr2,48026038,48026172,MSH6
chr2,48026165,48026237,MSH6
chr2,48026204,48026334,MSH6
chr2,48026333,48026409,MSH6
chr2,48026371,48026501,MSH6
chr2,48026461,48026541,MSH6
chr2,48026539,48026628,MSH6
chr2,48026628,48026701,MSH6
chr2,48026667,48026780,MSH6
chr2,48026780,48026852,MSH6
chr2,48026820,48026940,MSH6
chr2,48026912,48027004,MSH6
chr2,48026987,48027091,MSH6
chr2,48027076,48027168,MSH6
chr2,48027135,48027248,MSH6
chr2,48027239,48027310,MSH6
chr2,48027290,48027415,MSH6
chr2,48027373,48027488,MSH6
chr2,48027449,48027566,MSH6
chr2,48027560,48027633,MSH6
chr2,48027610,48027701,MSH6
chr2,48027687,48027770,MSH6
chr2,48027751,48027860,MSH6
chr2,48027857,48027928,MSH6
chr2,48027897,48028027,MSH6
chr2,48028027,48028103,MSH6
chr2,48028063,48028187,MSH6
chr2,48028167,48028241,MSH6
chr2,48028223,48028315,MSH6
chr2,48030532,48030651,MSH6
chr2,48030629,48030712,MSH6
chr2,48030690,48030810,MSH6
chr2,48030799,48030887,MSH6
chr2,48032036,48032107,MSH6
chr2,48032059,48032176,MSH6
chr2,48032700,48032827,MSH6
chr2,48032825,48032940,MSH6
chr2,48033270,48033348,MSH6
chr2,48033346,48033479,MSH6
chr2,48033462,48033579,MSH6
chr2,48033585,48033700,MSH6
chr2,48033693,48033760,MSH6
chr2,48033739,48033840,MSH6
chr2,48033880,48033955,MSH6
chr2,48033933,48034005,MSH6
chr2,61719378,61719496,XPO1
chr2,178098710,178098824,NFE2L2
chr2,178098869,178098977,NFE2L2
chr2,198266596,198266720,SF3B1
chr2,198266786,198266899,SF3B1
chr2,198267321,198267394,SF3B1
chr2,198267438,198267556,SF3B1
chr2,209113083,209113207,IDH1
chr2,212248560,212248686,ERBB4
chr2,212426648,212426772,ERBB4
chr2,212488673,212488800,ERBB4
chr2,212495254,212495373,ERBB4
chr2,212566748,212566872,ERBB4
chr3,10070318,10070425,FANCD2
chr3,10074480,10074567,FANCD2
chr3,10074565,10074680,FANCD2
chr3,10076102,10076198,FANCD2
chr3,10076165,10076238,FANCD2
chr3,10076306,10076415,FANCD2
chr3,10076401,10076491,FANCD2
chr3,10076833,10076932,FANCD2
chr3,10077951,10078039,FANCD2
chr3,10080955,10081075,FANCD2
chr3,10081355,10081430,FANCD2
chr3,10081409,10081545,FANCD2
chr3,10083283,10083397,FANCD2
chr3,10083348,10083443,FANCD2
chr3,10084198,10084270,FANCD2
chr3,10084250,10084359,FANCD2
chr3,10084706,10084840,FANCD2
chr3,10085115,10085192,FANCD2
chr3,10085171,10085281,FANCD2
chr3,10085488,10085564,FANCD2
chr3,10088219,10088356,FANCD2
chr3,10088398,10088527,FANCD2
chr3,10089531,10089645,FANCD2
chr3,10089617,10089739,FANCD2
chr3,10089708,10089792,FANCD2
chr3,10091048,10091177,FANCD2
chr3,10091078,10091196,FANCD2
chr3,10094054,10094179,FANCD2
chr3,10094152,10094230,FANCD2
chr3,10101920,10102018,FANCD2
chr3,10101973,10102093,FANCD2
chr3,10105397,10105484,FANCD2
chr3,10105484,10105612,FANCD2
chr3,10106024,10106150,FANCD2
chr3,10106380,10106461,FANCD2
chr3,10106413,10106543,FANCD2
chr3,10106526,10106609,FANCD2
chr3,10107069,10107183,FANCD2
chr3,10107519,10107649,FANCD2
chr3,10107644,10107733,FANCD2
chr3,10108835,10108948,FANCD2
chr3,10108896,10109006,FANCD2
chr3,10114546,10114683,FANCD2
chr3,10114893,10115043,FANCD2
chr3,10116208,10116279,FANCD2
chr3,10116219,10116348,FANCD2
chr3,10116342,10116435,FANCD2
chr3,10119759,10119887,FANCD2
chr3,10122776,10122898,FANCD2
chr3,10122860,10122931,FANCD2
chr3,10123021,10123139,FANCD2
chr3,10123115,10123188,FANCD2
chr3,10127489,10127608,FANCD2
chr3,10127555,10127631,FANCD2
chr3,10128790,10128860,FANCD2
chr3,10128818,10128940,FANCD2
chr3,10128927,10128997,FANCD2
chr3,10130114,10130219,FANCD2
chr3,10130215,10130289,FANCD2
chr3,10130458,10130535,FANCD2
chr3,10130521,10130641,FANCD2
chr3,10131935,10132009,FANCD2
chr3,10131981,10132085,FANCD2
chr3,10133835,10133951,FANCD2
chr3,10134959,10135040,FANCD2
chr3,10135959,10136074,FANCD2
chr3,10136815,10136904,FANCD2
chr3,10136898,10136994,FANCD2
chr3,10137989,10138071,FANCD2
chr3,10138025,10138154,FANCD2
chr3,10138114,10138192,FANCD2
chr3,10140395,10140500,FANCD2
chr3,10140436,10140550,FANCD2
chr3,10140550,10140639,FANCD2
chr3,10142851,10142949,FANCD2
chr3,10142929,10142999,FANCD2
chr3,12393076,12393188,PPARG
chr3,12421279,12421354,PPARG
chr3,12422788,12422911,PPARG
chr3,12422965,12423084,PPARG
chr3,12434137,12434231,PPARG
chr3,12447345,12447444,PPARG
chr3,12447531,12447647,PPARG
chr3,12458229,12458346,PPARG
chr3,12458432,12458553,PPARG
chr3,12475387,12475508,PPARG
chr3,12632341,12632448,RAF1
chr3,12645642,12645765,RAF1
chr3,37035027,37035144,MLH1
chr3,37035048,37035177,MLH1
chr3,37038050,37038134,MLH1
chr3,37038118,37038205,MLH1
chr3,37042408,37042514,MLH1
chr3,37042503,37042573,MLH1
chr3,37045831,37045905,MLH1
chr3,37045895,37046015,MLH1
chr3,37048436,37048552,MLH1
chr3,37048537,37048653,MLH1
chr3,37050238,37050325,MLH1
chr3,37050309,37050417,MLH1
chr3,37053301,37053368,MLH1
chr3,37053480,37053580,MLH1
chr3,37053547,37053647,MLH1
chr3,37055848,37055951,MLH1
chr3,37055948,37056039,MLH1
chr3,37056006,37056080,MLH1
chr3,37058986,37059102,MLH1
chr3,37061754,37061844,MLH1
chr3,37061833,37061961,MLH1
chr3,37067067,37067175,MLH1
chr3,37067146,37067222,MLH1
chr3,37067208,37067348,MLH1
chr3,37067345,37067436,MLH1
chr3,37067377,37067503,MLH1
chr3,37070217,37070291,MLH1
chr3,37070287,37070413,MLH1
chr3,37070413,37070486,MLH1
chr3,37081651,37081738,MLH1
chr3,37081689,37081796,MLH1
chr3,37083739,37083856,MLH1
chr3,37088983,37089083,MLH1
chr3,37089057,37089179,MLH1
chr3,37089993,37090114,MLH1
chr3,37090349,37090421,MLH1
chr3,37090414,37090538,MLH1
chr3,37091971,37092085,MLH1
chr3,37092074,37092147,MLH1
chr3,37092128,37092244,MLH1
chr3,38181918,38182037,MYD88
chr3,38182550,38182653,MYD88
chr3,41266008,41266088,CTNNB1
chr3,41266076,41266202,CTNNB1
chr3,41268741,41268864,CTNNB1
chr3,47058548,47058621,SETD2
chr3,47058596,47058724,SETD2
chr3,47058717,47058790,SETD2
chr3,47059084,47059208,SETD2
chr3,47059198,47059275,SETD2
chr3,47061236,47061360,SETD2
chr3,47079147,47079267,SETD2
chr3,47079190,47079293,SETD2
chr3,47083997,47084069,SETD2
chr3,47084058,47084180,SETD2
chr3,47084133,47084205,SETD2
chr3,47087969,47088083,SETD2
chr3,47088074,47088159,SETD2
chr3,47098281,47098389,SETD2
chr3,47098377,47098451,SETD2
chr3,47098423,47098538,SETD2
chr3,47098534,47098619,SETD2
chr3,47098578,47098710,SETD2
chr3,47098675,47098781,SETD2
chr3,47098744,47098877,SETD2
chr3,47098828,47098910,SETD2
chr3,47098910,47098987,SETD2
chr3,47103613,47103699,SETD2
chr3,47103653,47103773,SETD2
chr3,47103758,47103835,SETD2
chr3,47103805,47103886,SETD2
chr3,47108511,47108620,SETD2
chr3,47125204,47125321,SETD2
chr3,47125283,47125386,SETD2
chr3,47125370,47125489,SETD2
chr3,47125464,47125537,SETD2
chr3,47125528,47125672,SETD2
chr3,47125665,47125739,SETD2
chr3,47125703,47125844,SETD2
chr3,47127654,47127731,SETD2
chr3,47127681,47127788,SETD2
chr3,47127781,47127857,SETD2
chr3,47129570,47129650,SETD2
chr3,47129642,47129717,SETD2
chr3,47129684,47129792,SETD2
chr3,47139376,47139459,SETD2
chr3,47139459,47139572,SETD2
chr3,47139516,47139603,SETD2
chr3,47142941,47143042,SETD2
chr3,47143012,47143133,SETD2
chr3,47144811,47144883,SETD2
chr3,47144833,47144950,SETD2
chr3,47147481,47147589,SETD2
chr3,47147587,47147657,SETD2
chr3,47155269,47155393,SETD2
chr3,47155380,47155500,SETD2
chr3,47158092,47158176,SETD2
chr3,47158108,47158222,SETD2
chr3,47158222,47158316,SETD2
chr3,47161620,47161720,SETD2
chr3,47161679,47161758,SETD2
chr3,47161755,47161849,SETD2
chr3,47161849,47161964,SETD2
chr3,47161888,47162010,SETD2
chr3,47162010,47162089,SETD2
chr3,47162048,47162175,SETD2
chr3,47162154,47162231,SETD2
chr3,47162212,47162294,SETD2
chr3,47162278,47162350,SETD2
chr3,47162329,47162432,SETD2
chr3,47162418,47162507,SETD2
chr3,47162469,47162568,SETD2
chr3,47162567,47162678,SETD2
chr3,47162611,47162731,SETD2
chr3,47162728,47162801,SETD2
chr3,47162777,47162899,SETD2
chr3,47162870,47162945,SETD2
chr3,47162937,47163062,SETD2
chr3,47163026,47163137,SETD2
chr3,47163107,47163220,SETD2
chr3,47163187,47163260,SETD2
chr3,47163259,47163383,SETD2
chr3,47163378,47163451,SETD2
chr3,47163421,47163534,SETD2
chr3,47163516,47163597,SETD2
chr3,47163570,47163695,SETD2
chr3,47163660,47163746,SETD2
chr3,47163737,47163847,SETD2
chr3,47163809,47163902,SETD2
chr3,47163902,47164010,SETD2
chr3,47163986,47164059,SETD2
chr3,47164055,47164163,SETD2
chr3,47164154,47164243,SETD2
chr3,47164214,47164331,SETD2
chr3,47164314,47164426,SETD2
chr3,47164378,47164483,SETD2
chr3,47164480,47164547,SETD2
chr3,47164516,47164628,SETD2
chr3,47164627,47164701,SETD2
chr3,47164670,47164796,SETD2
chr3,47164780,47164851,SETD2
chr3,47164829,47164943,SETD2
chr3,47164910,47165001,SETD2
chr3,47164990,47165093,SETD2
chr3,47165085,47165156,SETD2
chr3,47165145,47165249,SETD2
chr3,47165246,47165350,SETD2
chr3,47165312,47165433,SETD2
chr3,47165424,47165498,SETD2
chr3,47165468,47165589,SETD2
chr3,47165535,47165626,SETD2
chr3,47165626,47165717,SETD2
chr3,47165692,47165769,SETD2
chr3,47165758,47165880,SETD2
chr3,47165880,47165954,SETD2
chr3,47165918,47166036,SETD2
chr3,47166012,47166082,SETD2
chr3,47168078,47168159,SETD2
chr3,47205243,47205378,SETD2
chr3,47205346,47205482,SETD2
chr3,49412893,49413018,RHOA
chr3,52436208,52436328,BAP1
chr3,52436317,52436402,BAP1
chr3,52436384,52436522,BAP1
chr3,52436594,52436725,BAP1
chr3,52436711,52436835,BAP1
chr3,52436824,52436940,BAP1
chr3,52437111,52437225,BAP1
chr3,52437214,52437340,BAP1
chr3,52437405,52437540,BAP1
chr3,52437526,52437656,BAP1
chr3,52437645,52437776,BAP1
chr3,52437765,52437855,BAP1
chr3,52437837,52437948,BAP1
chr3,52438420,52438528,BAP1
chr3,52438491,52438622,BAP1
chr3,52439100,52439228,BAP1
chr3,52439221,52439319,BAP1
chr3,52439745,52439869,BAP1
chr3,52439858,52439954,BAP1
chr3,52440200,52440325,BAP1
chr3,52440313,52440439,BAP1
chr3,52440822,52440950,BAP1
chr3,52441161,52441288,BAP1
chr3,52441277,52441408,BAP1
chr3,52441383,52441507,BAP1
chr3,52441895,52441999,BAP1
chr3,52441999,52442096,BAP1
chr3,52442085,52442170,BAP1
chr3,52442449,52442578,BAP1
chr3,52442567,52442673,BAP1
chr3,52443542,52443662,BAP1
chr3,52443631,52443769,BAP1
chr3,52443748,52443877,BAP1
chr3,52443869,52444009,BAP1
chr3,128199815,128199951,GATA2
chr3,128200669,128200784,GATA2
chr3,128202730,128202865,GATA2
chr3,138374196,138374316,PIK3CB
chr3,138374295,138374419,PIK3CB
chr3,138376613,138376733,PIK3CB
chr3,138402474,138402593,PIK3CB
chr3,138407806,138407926,PIK3CB
chr3,138417763,138417884,PIK3CB
chr3,138423212,138423313,PIK3CB
chr3,138433299,138433413,PIK3CB
chr3,138453567,138453666,PIK3CB
chr3,138461500,138461607,PIK3CB
chr3,138477987,138478094,PIK3CB
chr3,138665154,138665285,FOXL2
chr3,142168233,142168331,ATR
chr3,142168327,142168439,ATR
chr3,142168432,142168554,ATR
chr3,142171964,142172040,ATR
chr3,142172037,142172125,ATR
chr3,142176417,142176499,ATR
chr3,142176498,142176571,ATR
chr3,142176542,142176658,ATR
chr3,142177791,142177908,ATR
chr3,142177861,142177943,ATR
chr3,142177942,142178066,ATR
chr3,142178064,142178149,ATR
chr3,142178109,142178230,ATR
chr3,142180769,142180897,ATR
chr3,142180894,142181018,ATR
chr3,142183865,142183982,ATR
chr3,142183942,142184059,ATR
chr3,142184033,142184104,ATR
chr3,142185063,142185182,ATR
chr3,142185175,142185280,ATR
chr3,142185277,142185348,ATR
chr3,142185326,142185445,ATR
chr3,142186769,142186894,ATR
chr3,142186829,142186904,ATR
chr3,142188107,142188191,ATR
chr3,142188190,142188283,ATR
chr3,142188278,142188346,ATR
chr3,142188333,142188444,ATR
chr3,142188920,142189037,ATR
chr3,142203909,142204021,ATR
chr3,142204018,142204133,ATR
chr3,142211906,142212015,ATR
chr3,142212015,142212112,ATR
chr3,142212049,142212165,ATR
chr3,142215107,142215235,ATR
chr3,142215206,142215329,ATR
chr3,142215273,142215376,ATR
chr3,142215798,142215881,ATR
chr3,142215871,142215941,ATR
chr3,142215913,142216034,ATR
chr3,142216019,142216124,ATR
chr3,142217416,142217496,ATR
chr3,142217485,142217617,ATR
chr3,142217612,142217689,ATR
chr3,142218453,142218554,ATR
chr3,142218516,142218601,ATR
chr3,142222187,142222253,ATR
chr3,142222220,142222327,ATR
chr3,142223966,142224062,ATR
chr3,142224028,142224111,ATR
chr3,142224103,142224186,ATR
chr3,142226734,142226822,ATR
chr3,142226795,142226922,ATR
chr3,142231064,142231136,ATR
chr3,142231111,142231217,ATR
chr3,142231213,142231286,ATR
chr3,142231257,142231370,ATR
chr3,142232259,142232358,ATR
chr3,142232351,142232473,ATR
chr3,142232411,142232486,ATR
chr3,142234212,142234331,ATR
chr3,142234331,142234416,ATR
chr3,142238439,142238547,ATR
chr3,142238514,142238640,ATR
chr3,142241501,142241590,ATR
chr3,142241588,142241708,ATR
chr3,142242828,142242927,ATR
chr3,142242907,142242995,ATR
